CustomerID,Revenue
14646.0,279138.02
18102.0,259657.3
17450.0,194550.79
16446.0,168472.5
14911.0,136275.72
12415.0,124564.53
14156.0,116729.63
17511.0,91062.38
12346.0,77183.6
16029.0,72882.09
16684.0,66653.56
13694.0,65039.62
15311.0,60767.9
13089.0,58825.83
17949.0,58030.48
15769.0,56252.72
15061.0,54534.14
14096.0,53258.43
14298.0,51527.3
14088.0,50491.81
15749.0,44534.3
12931.0,42055.96
17841.0,40967.72
15098.0,39916.5
13798.0,37153.85
16013.0,37130.6
16422.0,34684.4
15838.0,33643.08
12748.0,32317.32
17389.0,31833.68
17404.0,31781.82
13098.0,28882.44
14680.0,28754.11
13081.0,28337.38
13408.0,28117.04
16333.0,26626.8
13777.0,25977.16
17857.0,25301.54
12753.0,21429.39
16210.0,21076.3
17675.0,20374.28
17381.0,20275.61
15039.0,19914.44
12731.0,18751.91
15159.0,18641.010000000002
12901.0,17654.54
12471.0,17424.05
14031.0,17286.86
17428.0,17256.85
13767.0,17220.36
13881.0,17159.52
16839.0,16594.35
12921.0,16587.09
15856.0,16386.31
17677.0,16363.23
12678.0,16331.46
15189.0,16225.39
14051.0,15610.390000000001
14607.0,15021.5
15513.0,14758.220000000001
16133.0,14589.04
14866.0,14353.4
16705.0,14034.99
12433.0,13375.87
15498.0,13316.4
12477.0,13219.74
17735.0,13110.02
16525.0,13027.45
14258.0,12669.98
13078.0,12627.94
15640.0,12515.66
12621.0,12411.67
16000.0,12393.7
12681.0,12365.54
17340.0,12353.29
13113.0,12245.960000000001
14606.0,12006.65
12557.0,11990.960000000001
12939.0,11581.8
12540.0,11580.24
15125.0,11528.48
14194.0,11349.52
12971.0,11189.91
14895.0,11138.710000000001
12409.0,11072.67
17581.0,11045.04
12682.0,11028.22
15482.0,11014.96
13319.0,10845.550000000001
17107.0,10815.43
13340.0,10736.48
14769.0,10673.1
17139.0,10668.47
16779.0,10629.720000000001
17865.0,10524.220000000001
17706.0,10504.49
15251.0,10484.99
14062.0,10464.85
15615.0,10399.74
16180.0,10254.18
16843.0,10196.57
13001.0,9818.82
13199.0,9802.12
15078.0,9743.11
13458.0,9646.57
14733.0,9585.91
12709.0,9430.52
16523.0,9418.470000000001
12590.0,9341.26
14367.0,9261.52
14667.0,9236.95
12744.0,9120.39
18092.0,9068.26
13969.0,9053.94
12451.0,8995.52
13488.0,8968.31
13090.0,8895.82
16033.0,8816.4
17017.0,8694.26
17243.0,8668.45
17306.0,8631.31
16656.0,8625.8
12567.0,8609.28
14527.0,8507.82
18139.0,8438.34
15358.0,8347.2
16558.0,8338.49
14056.0,8214.65
14936.0,8137.02
16672.0,8134.9400000000005
13854.0,8109.5199999999995
14952.0,8099.49
18109.0,8052.97
14796.0,8020.93
15290.0,7943.22
14849.0,7930.54
13093.0,7832.47
17811.0,7831.03
12435.0,7829.89
13629.0,7792.36
15044.0,7700.2300000000005
15194.0,7616.53
12683.0,7612.57
